rocket_family,mission,rocket,provider,year,launch_site,location,status,era
Sputnik 8K74PS,Sputnik 1,Sputnik 8K74PS,Soviet Space Program,1957,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Sputnik 8K74PS,Sputnik 2,Sputnik 8K74PS,Soviet Space Program,1957,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1957,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Juno-I,Explorer 1,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Juno-I,Explorer 2,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Juno-I,Explorer 3,Juno-I,Army Ballistic Missile Agency,1958,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Sputnik 8A91,D-1 1,Sputnik 8A91,Soviet Space Program,1958,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Sputnik 8A91,D1- 2,Sputnik 8A91,Soviet Space Program,1958,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Vanguard,Vanguard,Vanguard,US Navy,1958,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Project Pilot,NOTS 1,Project Pilot,US Navy,1958,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure,Space Race
